ack_count_flag,active_max,active_mean,active_min,active_stddev,average_backward_segment_size,average_forward_segment_size,average_packet_size,backward_bytes_init_win,backward_bytes_subflow,backward_flags_psh,backward_flags_urg,backward_header_length,backward_iat_max,backward_iat_mean,backward_iat_min,backward_iat_stddev,backward_iat_total,backward_length_max_packet,backward_length_mean_packet,backward_length_min_packet,backward_length_packet_stddev,backward_length_packets_total,backward_packets_persec,backward_packets_subflow,backward_packets_total,bytes_flow_persec,bytes_forward_init_win,bytes_forward_subflow,count_cwe_flag,count_ece_flag,count_fin_flag,count_flag_psh,count_flag_rst,count_flag_syn,count_flag_urg,destination_port,down_ratio_up,duration_flow,flags_forward_psh,flags_forward_urg,flow_iat_max,flow_iat_mean,flow_iat_min,flow_iat_stddev,flow_packets_persec,forward_header_length,forward_iat_max,forward_iat_mean,forward_iat_min,forward_iat_stddev,forward_iat_total,forward_length_max_packet,forward_length_mean_packet,forward_length_min_packet,forward_length_packet_stddev,forward_length_packets_total,forward_min_segment_size,forward_packets_persec,forward_packets_subflow,forward_packets_total,idle_max,idle_mean,idle_min,idle_stddev,length_max_packet,length_mean_packet,length_min_packet,length_packet_stddev,length_packet_variance
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,1,1,0.0,283,0,0,0,0,0,0,0,1,39332,1.0,64,0,0,64.0,64.0,64.0,0.0,31250.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,15625.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,143.91666666666666,148.4,145.95454545454547,64000,1727,0,0,252,3724538.0,901802.6363636364,104389.0,1180109.9468582808,9919829.0,1175.0,143.91666666666669,0.0,339.4376253675357,1727.0,1.209685101830788,12,12,323.691571831555,8192,1484,0,1,0,1,1,0,0,3389,1.0,9919937,0,0,3724538.0,472377.9523809524,9.0,951258.7461516702,2.2177560200231112,212,3881638.0,1102215.2222222222,29.0,1375874.47453245,9919937.0,773.0,148.40000000000003,0.0,229.2132437515579,1484.0,20,1.0080709181923233,10,10,0.0,0.0,0.0,0.0,1175.0,139.6086956521739,0.0,282.901482873204,80033.24901185771
0,0.0,0.0,0.0,0.0,706.8571429,42.66666667,333.25,946,4948,0,0,152,33027.0,10711.83333,49.0,15897.53017,64271.0,1460.0,706.8571429,0.0,654.7344063,4948.0,1.373352027,7,7,1046.101858,8192,384,0,0,0,1,0,0,0,443,0.0,5097018,0,0,4944517.0,339801.2,20.0,1273977.403,3.139090347,192,4944517.0,637127.25,49.0,1740685.033,5097018.0,197.0,42.66666667,0.0,70.21573898,384.0,20,1.76573832,9,9,0.0,0.0,0.0,0.0,1460.0,313.6470588,0.0,527.5563881,278315.7426
0,0.0,0.0,0.0,0.0,137.0,33.0,93.25,-1,274,0,0,16,1.0,1.0,1.0,0.0,1.0,137.0,137.0,137.0,0.0,274.0,18.60136347994308,2,2,3162.231791590324,-1,66,0,0,0,0,0,0,0,53,1.0,107519,0,0,83401.0,35839.66666666667,1.0,42918.01119965059,37.20272695988616,16,24117.0,24117.0,24117.0,0.0,24117.0,33.0,33.0,33.0,0.0,66.0,8,18.60136347994308,2,2,0.0,0.0,0.0,0.0,137.0,74.6,33.0,56.96314598053728,3244.8
0,0.0,0.0,0.0,0.0,119.0,33.0,67.16666667,-1,238,0,0,40,3.0,3.0,3.0,0.0,3.0,119.0,119.0,119.0,0.0,238.0,32.10736704,2,2,5939.862902,-1,132,0,0,0,0,0,0,0,53,0.0,62291,0,0,32342.0,12458.2,3.0,17076.1153,96.32210111,80,32342.0,10782.66667,3.0,18670.93036,32348.0,33.0,33.0,33.0,0.0,132.0,20,64.21473407,4,4,0.0,0.0,0.0,0.0,119.0,57.57142857,33.0,41.96370314,1760.952381
0,0.0,0.0,0.0,0.0,200.0,39.0,129.25,-1,400,0,0,16,35.0,35.0,35.0,0.0,35.0,200.0,200.0,200.0,0.0,400.0,6.320852809461052,2,2,1510.6838214611917,-1,78,0,0,0,0,0,0,0,53,1.0,316413,0,0,292652.0,105471.0,35.0,162535.7220459552,12.641705618922105,16,23726.0,23726.0,23726.0,0.0,23726.0,39.0,39.0,39.0,0.0,78.0,8,6.320852809461052,2,2,0.0,0.0,0.0,0.0,200.0,103.4,39.0,88.18333175833175,7776.299999999999
0,0.0,0.0,0.0,0.0,139.0,42.0,101.0,-1,278,0,0,16,0.0,0.0,0.0,0.0,0.0,139.0,139.0,139.0,0.0,278.0,50.2222333827,2,2,9090.2242422721,-1,84,0,0,0,0,0,0,0,53,1.0,39823,0,0,29395.0,13274.3333333333,0.0,14902.7754573882,100.4444667654,16,29395.0,29395.0,29395.0,0.0,29395.0,42.0,42.0,42.0,0.0,84.0,8,50.2222333827,2,2,0.0,0.0,0.0,0.0,139.0,80.8,42.0,53.129088078,2822.7
1,0.0,0.0,0.0,0.0,0.0,15.5,31.0,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31000000.0,946,31,0,0,0,0,0,1,0,53361,0.0,1,1,0,1.0,1.0,1.0,0.0,2000000.0,40,1.0,1.0,1.0,0.0,1.0,31.0,15.5,0.0,21.920310216782973,31.0,20,2000000.0,2,2,0.0,0.0,0.0,0.0,31.0,20.666666666666664,0.0,17.8978583448784,320.33333333333337
0,0.0,0.0,0.0,0.0,638.8571428571429,56.888888888888886,311.5,172,4472,0,0,152,56517.0,12668.166666666668,1.0,22032.40133454968,76009.0,1430.0,638.8571428571428,0.0,695.6206889225929,4472.0,58.87399283419401,7,7,41918.28289794614,8192,512,0,1,0,1,1,0,0,443,0.0,118898,0,0,44822.0,7926.533333333332,1.0,13178.402102719148,134.56912647815776,192,44855.0,14862.249999999998,14.0,15993.060993086076,118898.0,194.0,56.888888888888886,0.0,83.48269947187329,512.0,20,75.69513364396373,9,9,0.0,0.0,0.0,0.0,1430.0,293.1764705882353,0.0,523.4494048251127,273999.2794117647
0,0.0,0.0,0.0,0.0,214.75,145.33333333333334,185.0,31,859,0,0,92,23568.0,8007.666666666666,39.0,13476.962281364942,24023.0,859.0,214.75,0.0,429.5,859.0,84.8662296055842,4,4,27475.441834807883,8192,436,0,1,0,1,1,0,0,80,1.0,47133,0,0,23301.0,7855.499999999999,15.0,11891.120430808864,148.51590180977234,72,23125.0,11688.5,252.0,16173.653406079902,23377.0,436.0,145.33333333333334,0.0,251.72471736667683,436.0,20,63.64967220418815,3,3,0.0,0.0,0.0,0.0,859.0,161.875,0.0,320.34554446276115,102621.26785714288
